element,id,geometry,addr:city,addr:postcode,addr:state,addr:street,building,height,type,ele,gnis:feature_id,name,name:en,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,natural,old_name,old_name:etymology,old_name:etymology:wikidata,old_name:etymology:wikipedia,tourism,water,website,wikidata,wikimedia_commons,addr:housenumber,building:levels,roof:levels,addr:country,air_conditioning,brand,email,fax,internet_access,phone,rooms,smoking,landuse,nhd:reach_code,source,addr:housename,addr:county,attribution,description,changing_table,fee,opening_hours,wikipedia,highway,surface,level,lit,place,wheelchair,layer,source:addr:housenumber,boundary,leisure,amenity,emergency,healthcare,healthcare:for,operator,operator:short,operator:wikidata,operator:wikipedia,short_name,mobile,name:zh,dog,alt_name,brand:wikidata,internet_access:fee,name:ko,sport,denomination,religion,area,operator:type,protect_class,building:part,abandoned,check_date,disused:amenity,note,shop,contact:facebook,contact:instagram,contact:youtube,payment:cash,payment:credit_cards,payment:debit_cards,start_date,architect,community,community:gender,community:wikidata,access,building:material,official_name,name:he,building:colour,roof:colour,parking,colour,man_made,operator:email,operator:phone,tower:type,demolished:building,artist_name,artwork_type,material,contact:website,name:pt,service_times,operator:short_name,operator:website,owner,owner:short_name,owner:type,owner:wikidata,ownership,protected,protected_area,protection_title,landcover,nudism,communication:amateur_radio:pota,defensive_works,heritage,historic,attraction,name:es,zoo,min_height,disused,military,camping,clothing-optional,fire,glass,thong,topless,lanes,note:access,bridge,bar,internet_access:ssid,payment:american_express,payment:visa,reservation,url,name:kn,roof:shape,baseball,garden:type,bicycle,diocese,disused:landuse,source:operator,grades,fixme,crane:type,name:cmn,name:cmn-Hans,name:cmn-Hans-CN,name:cmn-Hans-SG,name:cmn-Hant,name:cs,name:de,name:oc,name:vi,name:yue,name:zh-Hans,name:zh-Hans-CN,name:zh-Hans-SG,name:zh-Hant,name:zh-Hant-HK,name:zh-Hant-TW,seamark:light:period,seamark:light:range,seamark:name,generator:source,power,building:min_level,seamark:type,golf,foot,salt,tidal,wetland,building:flats,drinking_water,office,leaf_type,floating,location,ref,noname,substation,voltage,disused:power,disused:highway,playground:theme,toilets,area:highway,crossing,crossing:markings,crossing:signals,footway,seamark:harbour:category,capacity,park_ride,surface:colour,was:building,was:amenity,leaf_cycle,artist:wikidata,artist:wikipedia,building:use,indoor,fountain,heritage:operator,heritage:website,museum,nrhp:criteria,nrhp:inscription_date,old_name:1940-1996,ref:nrhp,source_ref,hazard,addr:district,contact:fax,contact:phone,pipeline,substance,max_age,min_age,roof:material
relation,4154217,"POLYGON ((-122.4219809 37.7748341, -122.4220145 37.7750067, -122.4216712 37.7750486, -122.4216527 37.774953, -122.421691 37.7749484, -122.4216456 37.774714, -122.4219472 37.7746795, -122.4219809 37.7748341))",San Francisco,94102,CA,Oak Street,yes,,multipolygon,,,FAIS / IHS Gym,,,,,,,,,,,,,,,129;151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4221904,"POLYGON ((-122.4061333 37.8029699, -122.406085 37.8030006, -122.4060166 37.8030154, -122.4059482 37.8030197, -122.4058906 37.803008, -122.4058463 37.8029836, -122.4058101 37.802954, -122.4057833 37.8029148, -122.4057685 37.8028607, -122.405743 37.8027918, -122.4056907 37.802688, -122.4058812 37.8026912, -122.4059429 37.8026869, -122.4060099 37.8026774, -122.4060756 37.8026922, -122.4061253 37.8027208, -122.4061762 37.8027717, -122.4061936 37.8028226, -122.406191 37.8028756, -122.4061749 37.8029254, -122.4061333 37.8029699), (-122.4059235 37.8028601, -122.405929 37.8028748, -122.4059398 37.8028874, -122.405955 37.8028968, -122.4059731 37.8029022, -122.4059923 37.802903, -122.406011 37.8028991, -122.4060273 37.8028909, -122.4060397 37.8028792, -122.406047 37.8028651, -122.4060485 37.8028494, -122.4060437 37.802834, -122.406033 37.8028207, -122.4060176 37.8028107, -122.405999 37.802805, -122.405979 37.8028042, -122.4059598 37.8028083, -122.4059431 37.8028171, -122.4059308 37.8028295, -122.405924 37.8028444, -122.4059235 37.8028601))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4281540,"MULTIPOLYGON (((-122.3882979 37.7562299, -122.3883578 37.756251, -122.3883612 37.756245, -122.3884524 37.756277, -122.3884384 37.7563019, -122.3884209 37.756333, -122.3882698 37.7562799, -122.3882979 37.7562299)), ((-122.388573 37.756319, -122.3885699 37.7563244, -122.3885806 37.7563282, -122.3885835 37.7563231, -122.3886468 37.7563457, -122.3886134 37.7564043, -122.3885708 37.7563891, -122.3885748 37.7563821, -122.3885521 37.756374, -122.388548 37.7563811, -122.3885092 37.7563673, -122.3885429 37.7563083, -122.388573 37.756319)))",San Francisco,94107,CA,3rd Street,residential,,multipolygon,,,Green Vic Gardens Condominiums (bldg 1),,,,,,,,,,,,,,,2642-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4669301,"POLYGON ((-122.406454 37.7855883, -122.406449 37.785595, -122.406443 37.7855985, -122.4064368 37.7856013, -122.4064289 37.785603, -122.4064196 37.7856033, -122.4064101 37.7856021, -122.4064011 37.7855985, -122.4063931 37.7855934, -122.4063871 37.7855867, -122.4063833 37.7855789, -122.4063816 37.7855705, -122.4063829 37.7855616, -122.4063876 37.7855551, -122.4063941 37.7855496, -122.4064021 37.7855453, -122.4064116 37.7855429, -122.4064201 37.7855413, -122.406427 37.7855409, -122.4067401 37.7852816, -122.4067974 37.7855453, -122.4067605 37.7855504, -122.4067565 37.7855587, -122.4064775 37.7855938, -122.40647 37.7855871, -122.406454 37.7855883))",,,,Market Street,commercial,,multipolygon,,,,,,,,,,,,,,,,,,800;830,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4751349,"POLYGON ((-122.4784356 37.7220368, -122.4785458 37.7221391, -122.4785715 37.7221224, -122.4785432 37.7221819, -122.4785148 37.7222414, -122.4783549 37.7222666, -122.4782839 37.722247, -122.4782562 37.7222334, -122.4782504 37.7222082, -122.4782879 37.7221839, -122.4782632 37.7221634, -122.4782444 37.7221312, -122.4782536 37.7220967, -122.4782563 37.7220866, -122.4782998 37.7220582, -122.4783411 37.722046, -122.4783927 37.7220504, -122.4783981 37.7220389, -122.4784032 37.7220282, -122.4784237 37.7220336, -122.4784356 37.7220368))",,,,,,,multipolygon,,,Malcolm X Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792968,"POLYGON ((-122.4824111 37.7255759, -122.4824034 37.7255787, -122.4823962 37.7255822, -122.4823896 37.7255864, -122.4823836 37.725591, -122.4822023 37.7255206, -122.4821863 37.7254625, -122.4822681 37.7253292, -122.4823378 37.7253138, -122.4825041 37.7253814, -122.4825355 37.7254307, -122.4824437 37.7255755, -122.4824356 37.7255747, -122.4824273 37.7255744, -122.4824193 37.7255747, -122.4824111 37.7255759), (-122.4823588 37.7254356, -122.482349 37.725438, -122.4823408 37.7254427, -122.4823348 37.7254492, -122.4823319 37.7254569, -122.4823321 37.725465, -122.4823357 37.7254725, -122.4823421 37.7254788, -122.4823507 37.7254831, -122.4823606 37.725485, -122.482371 37.7254842, -122.4823805 37.7254808, -122.4823881 37.7254751, -122.4823929 37.7254677, -122.4823943 37.7254595, -122.4823923 37.7254514, -122.482387 37.7254443, -122.482379 37.7254389, -122.4823692 37.7254359, -122.4823588 37.7254356))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792970,"POLYGON ((-122.4770227 37.7253628, -122.4770042 37.725361, -122.4769977 37.7253609, -122.4767173 37.724786, -122.4759928 37.7245896, -122.4754377 37.7244351, -122.4752974 37.7243953, -122.4753363 37.7236596, -122.4753386 37.7236161, -122.4754598 37.7236204, -122.4754554 37.7237014, -122.4756167 37.723813, -122.4755807 37.7238351, -122.4755628 37.7240382, -122.4756079 37.7240455, -122.4756027 37.7241828, -122.4755831 37.7241757, -122.4755233 37.7242836, -122.4755548 37.7242953, -122.476461 37.7246265, -122.4764727 37.7246304, -122.4764894 37.7246011, -122.4765107 37.7246073, -122.4767784 37.7246967, -122.4767611 37.7247252, -122.4767507 37.7247471, -122.4767442 37.7247786, -122.4767446 37.7248053, -122.4767479 37.7248289, -122.4767605 37.724858, -122.4767746 37.7248922, -122.4769046 37.7251554, -122.4769508 37.7252299, -122.4769741 37.7252653, -122.4770026 37.7253022, -122.4770202 37.7253357, -122.477028 37.7253612, -122.4770227 37.7253628))",,,,,,,multipolygon,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792972,"POLYGON ((-122.4821366 37.7244684, -122.481798 37.7245281, -122.4817766 37.7245537, -122.4816348 37.7244801, -122.4817197 37.7243781, -122.4818143 37.7244278, -122.4818158 37.724426, -122.4817221 37.7243767, -122.481799 37.7242935, -122.4818204 37.7242778, -122.481851 37.7242622, -122.481878 37.7242505, -122.4819056 37.7242443, -122.4819306 37.7242442, -122.4819529 37.7242501, -122.4820031 37.7242808, -122.4820047 37.7242801, -122.4825243 37.7245982, -122.4821508 37.7244659, -122.4821366 37.7244684), (-122.4817434 37.7244383, -122.4817866 37.724461, -122.4818114 37.7244313, -122.4817682 37.7244085, -122.4817434 37.7244383), (-122.4817098 37.7244525, -122.4817141 37.7244548, -122.481717 37.7244514, -122.4817126 37.7244491, -122.4817098 37.7244525))",,,,,,,multipolygon,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792973,"POLYGON ((-122.4846291 37.7243982, -122.4846485 37.7243991, -122.484653 37.7244273, -122.4846545 37.7244542, -122.484653 37.7244766, -122.4846486 37.7244943, -122.4846413 37.7245071, -122.4846313 37.7245151, -122.4846186 37.7245183, -122.4846033 37.7245167, -122.4845936 37.7245103, -122.4845865 37.7245004, -122.4845825 37.724488, -122.4845818 37.7244734, -122.4845857 37.7244516, -122.4845927 37.7244302, -122.4846011 37.7244194, -122.4846112 37.7244101, -122.4846161 37.7243976, -122.4846291 37.7243982), (-122.4846222 37.7244083, -122.4846318 37.7244087, -122.4846325 37.7243997, -122.4846211 37.7243992, -122.4846205 37.7244082, -122.4846222 37.7244083))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792974,"POLYGON ((-122.4769593 37.7227008, -122.4769486 37.7227016, -122.4769382 37.722704, -122.4769294 37.7227065, -122.4768987 37.7226896, -122.4768744 37.7226537, -122.476862 37.7226312, -122.4768484 37.7226002, -122.4768431 37.7225802, -122.4768671 37.7225762, -122.4768911 37.7225676, -122.4769077 37.7225541, -122.4769151 37.722536, -122.4769115 37.7225189, -122.4768931 37.7225038, -122.4768741 37.7224968, -122.4768539 37.7224952, -122.4768286 37.7224979, -122.4768293 37.722451, -122.4768334 37.722405, -122.4768455 37.7223651, -122.4769161 37.722196, -122.4769284 37.722199, -122.4769425 37.7221987, -122.476961 37.7221954, -122.4769848 37.7221885, -122.4769972 37.7221822, -122.4769999 37.722177, -122.4770039 37.7221696, -122.4770081 37.7221598, -122.477012 37.7221528, -122.4770155 37.7221468, -122.477377 37.7222402, -122.4773702 37.722397, -122.4773676 37.7224132, -122.4773603 37.7224349, -122.4773515 37.7224328, -122.4773374 37.7224321, -122.4773296 37.7224332, -122.4773174 37.7224343, -122.4773023 37.7224375, -122.4772914 37.7224416, -122.477283 37.7224451, -122.4772735 37.7224544, -122.477267 37.7224618, -122.477266 37.7224696, -122.4772657 37.7224817, -122.477266 37.7224923, -122.4772673 37.7224986, -122.4772718 37.7225067, -122.4772769 37.7225129, -122.4772776 37.7225168, -122.4772826 37.7225235, -122.477288 37.72253, -122.4772376 37.7225801, -122.4771818 37.7226262, -122.4771283 37.7226634, -122.4770174 37.7227321, -122.4770153 37.7227268, -122.4770109 37.7227212, -122.4770055 37.7227161, -122.4769994 37.7227117, -122.4769904 37.7227069, -122.4769806 37.7227035, -122.4769701 37.7227014, -122.4769593 37.7227008), (-122.4771176 37.722368, -122.477112 37.7223652, -122.4771069 37.7223653, -122.4771016 37.7223685, -122.4771004 37.722375, -122.4771044 37.7223792, -122.4770873 37.7224209, -122.4770799 37.7224236, -122.4770775 37.7224298, -122.4770806 37.7224344, -122.477085 37.7224363, -122.47709 37.7224362, -122.4770953 37.7224331, -122.4771214 37.7224398, -122.4771234 37.7224445, -122.4771283 37.7224473, -122.4771345 37.7224472, -122.4771394 37.722444, -122.4771408 37.722439, -122.4771366 37.7224337, -122.4771538 37.7223917, -122.4771586 37.7223896, -122.4771615 37.7223859, -122.4771615 37.7223801, -122.4771554 37.7223764, -122.4771493 37.7223772, -122.4771459 37.7223798, -122.4771197 37.7223723, -122.4771176 37.722368))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792976,"POLYGON ((-122.4775967 37.726017, -122.4775983 37.7259798, -122.4777127 37.7259811, -122.4777627 37.7259226, -122.477872 37.7259977, -122.4779838 37.725999, -122.4780502 37.7259553, -122.4780471 37.7260292, -122.477974 37.7260277, -122.4776685 37.726019, -122.4775967 37.726017), (-122.4780264 37.7259792, -122.4780248 37.726005, -122.4778718 37.7260032, -122.4778576 37.7259937, -122.4778713 37.7260048, -122.4778707 37.7260158, -122.4780266 37.7260177, -122.4780268 37.7260067, -122.4780264 37.7259792))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792978,"POLYGON ((-122.4841069 37.724635, -122.4841047 37.7246335, -122.484102 37.7246252, -122.4841113 37.7245733, -122.4841146 37.7245269, -122.4841138 37.724476, -122.484121 37.7244867, -122.4841336 37.7244938, -122.4841502 37.7244965, -122.4841705 37.7244948, -122.4841805 37.7244901, -122.4841872 37.7244829, -122.48419 37.724474, -122.4841887 37.7244636, -122.4841847 37.7244518, -122.4841841 37.7244426, -122.4841871 37.7244369, -122.4841934 37.7244348, -122.4842364 37.7244331, -122.4842728 37.7244372, -122.4842886 37.7244414, -122.4843021 37.7244471, -122.4843134 37.7244541, -122.4843211 37.7244616, -122.4843483 37.7245396, -122.4843541 37.7245607, -122.4843555 37.7245732, -122.4843561 37.7245791, -122.4843553 37.7245871, -122.4843511 37.7246206, -122.4843492 37.7246349, -122.4843435 37.7246545, -122.4843282 37.7246723, -122.4843267 37.7246791, -122.4843289 37.7246855, -122.484341 37.7246991, -122.4843417 37.724706, -122.4841128 37.7246386, -122.4841069 37.724635), (-122.4841161 37.7246308, -122.4841226 37.7246327, -122.484125 37.7246276, -122.4841185 37.7246257, -122.4841169 37.724629, -122.4841161 37.7246308))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792979,"POLYGON ((-122.483629 37.723949, -122.4836263 37.7239453, -122.4836138 37.7239347, -122.4836767 37.7239033, -122.4836805 37.7239014, -122.4837683 37.7239464, -122.4837964 37.7239624, -122.4837349 37.7239824, -122.4837182 37.7239871, -122.483701 37.7239887, -122.4837006 37.7239885, -122.4836915 37.7239816, -122.483689 37.7239798, -122.4836735 37.7239768, -122.4836573 37.723976, -122.4836467 37.7239734, -122.4836394 37.7239681, -122.4836352 37.7239599, -122.4836319 37.7239541, -122.483629 37.723949), (-122.4837873 37.7239623, -122.4837893 37.7239601, -122.4837851 37.7239577, -122.4837831 37.7239599, -122.4837873 37.7239623))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792980,"POLYGON ((-122.4840327 37.7239181, -122.4840631 37.7239119, -122.4841316 37.7241108, -122.4840045 37.7241385, -122.4840017 37.7241407, -122.4840016 37.7241437, -122.4839605 37.7240803, -122.4839336 37.7240447, -122.4838977 37.7240033, -122.4838955 37.7239972, -122.4839 37.7239914, -122.4840074 37.7239257, -122.4840327 37.7239181), (-122.4840466 37.7240294, -122.4840529 37.7240255, -122.4840481 37.7240205, -122.4840418 37.7240244, -122.4840466 37.7240294))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792983,"POLYGON ((-122.4835802 37.7238171, -122.4835843 37.723817, -122.4835967 37.723809, -122.4836049 37.7237984, -122.4836081 37.7237863, -122.4836063 37.723773, -122.4836055 37.723765, -122.4836079 37.7237568, -122.4836136 37.7237484, -122.4836225 37.7237398, -122.4836508 37.7237224, -122.4836842 37.7237097, -122.4836997 37.7237063, -122.483715 37.723705, -122.4837301 37.723706, -122.4837431 37.723709, -122.483939 37.723811, -122.4839737 37.7238291, -122.4839917 37.7238406, -122.4840007 37.7238497, -122.4840086 37.7238635, -122.4840168 37.7238729, -122.4840246 37.7238771, -122.4840317 37.7238759, -122.4840004 37.7238951, -122.4838788 37.7239694, -122.4838694 37.7239719, -122.4838594 37.7239687, -122.4838381 37.7239541, -122.4838055 37.7239348, -122.4835794 37.7238171, -122.4835802 37.7238171), (-122.4838684 37.7239609, -122.4838744 37.7239582, -122.4838711 37.7239534, -122.483865 37.7239561, -122.4838684 37.7239609))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792984,"POLYGON ((-122.4830933 37.7234407, -122.4831755 37.7235034, -122.4831735 37.723519, -122.483169 37.7235323, -122.4831626 37.7235419, -122.4831545 37.7235476, -122.4831448 37.7235495, -122.4831336 37.7235477, -122.4831208 37.7235421, -122.4831067 37.7235328, -122.4830887 37.7235217, -122.4830687 37.7235139, -122.4830568 37.7235109, -122.4830316 37.7235014, -122.4830101 37.7234887, -122.4829933 37.7234734, -122.482986 37.7234625, -122.4829815 37.7234559, -122.4829804 37.7234496, -122.4829818 37.7234426, -122.4829853 37.7234359, -122.4830069 37.7234222, -122.4830267 37.7234138, -122.4830443 37.7234109, -122.4830579 37.7234137, -122.4830933 37.7234407), (-122.4831544 37.723509, -122.483157 37.7235039, -122.4831506 37.7235018, -122.483148 37.7235069, -122.4831544 37.723509))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792985,"POLYGON ((-122.4789431 37.7244195, -122.4789193 37.7250019, -122.4788989 37.7250142, -122.4788789 37.7250269, -122.47885 37.7250344, -122.4788179 37.7250393, -122.4778349 37.7250064, -122.4777731 37.7250031, -122.4777389 37.7249997, -122.4777049 37.724993, -122.4776713 37.7249846, -122.4777007 37.7243818, -122.4777442 37.7243734, -122.4777853 37.7243697, -122.4788259 37.7244004, -122.4788887 37.7244085, -122.4789259 37.7244114, -122.4789431 37.7244195))",,,,,,,multipolygon,,,Cox Stadium,,,,,,,,,,,,,Q14681789,,,,,,,,,,,,,,grass,,,,,,,,,,,,grass,,,,,,,,pitch,,,,,,,,,,,,,,,,,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,4792987,"POLYGON ((-122.4809472 37.720736, -122.4809415 37.7207179, -122.4809398 37.7206992, -122.4809422 37.7206805, -122.4809486 37.7206625, -122.4809588 37.7206456, -122.4809725 37.7206304, -122.4809893 37.7206172, -122.4810087 37.7206066, -122.4810301 37.7205988, -122.4810529 37.720594, -122.4810764 37.7205924, -122.4810999 37.720594, -122.4811227 37.7205988, -122.4811441 37.7206067, -122.4811636 37.7206174, -122.4811804 37.7206306, -122.4811941 37.720646, -122.4812043 37.720663, -122.4812106 37.7206812, -122.4812128 37.7206999, -122.4812109 37.7207187, -122.481205 37.720737, -122.4811952 37.7207541, -122.4811818 37.7207696, -122.4811644 37.7207837, -122.481139 37.7207971, -122.4811174 37.7208042, -122.4810946 37.7208082, -122.4810713 37.7208091, -122.4810481 37.7208069, -122.4810257 37.7208015, -122.4810049 37.7207931, -122.480994 37.7207867, -122.4809861 37.7207821, -122.4809699 37.7207687, -122.4809568 37.7207531, -122.4809472 37.720736), (-122.4810467 37.7206537, -122.4810372 37.720658, -122.4810288 37.7206637, -122.4810218 37.7206704, -122.4810164 37.7206779, -122.4810126 37.7206861, -122.4810108 37.7206947, -122.4810108 37.7207034, -122.4810128 37.720712, -122.4810166 37.7207202, -122.4810221 37.7207277, -122.4810292 37.7207344, -122.4810376 37.72074, -122.4810471 37.7207443, -122.4810575 37.7207472, -122.4810683 37.7207487, -122.4810792 37.7207487, -122.48109 37.7207471, -122.4811003 37.7207441, -122.4811098 37.7207397, -122.4811182 37.7207341, -122.4811252 37.7207274, -122.4811307 37.7207199, -122.4811344 37.7207117, -122.4811363 37.7207031, -122.4811362 37.7206943, -122.4811343 37.7206858, -122.4811305 37.7206776, -122.4811249 37.7206701, -122.4811179 37.7206634, -122.4811094 37.7206578, -122.4810999 37.7206535, -122.4810896 37.7206505, -122.4810788 37.7206491, -122.4810678 37.7206491, -122.481057 37.7206506, -122.4810467 37.7206537))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
